ID,adapt,musique,score,score3D
22,1,0,"5,666666667",6
22,1,1,"5,583333333","6,1"
23,1,1,"4,75","4,4"
23,1,0,"3,416666667","3,4"
24,1,0,"5,166666667","5,8"
24,1,1,"4,083333333","4,9"
4,1,1,"6,083333333","6,1"
4,1,0,"5,75","5,6"
33,1,0,"6,25","6,2"
33,1,1,"6,166666667",6
34,1,1,"5,833333333","6,5"
34,1,0,"5,916666667","6,3"
37,1,0,"5,5","5,5"
37,1,1,"4,833333333","4,7"
30,1,1,5,"5,4"
30,1,0,"4,416666667","4,9"
29,1,0,"4,083333333","4,1"
29,1,1,"4,666666667","4,7"
31,1,1,"5,75","5,9"
31,1,0,"5,666666667","5,4"
26,1,0,"5,833333333","6,1"
26,1,1,"6,083333333",6
32,1,1,"5,666666667","6,1"
32,1,0,"5,333333333","5,7"
35,1,0,6,"5,8"
35,1,1,"5,833333333","5,7"
36,1,1,"6,083333333",6
36,1,0,"6,083333333",6
