list_direction,list_class,list_score,list_cond,list_id
0,-0.245614255025,16.0,mus,19
1,-0.280564466929,8.0,mus,19
0,-0.0347620532382,1.0,mus,19
1,0.310608994723,32.0,mus,19
0,-0.227562020786,28.0,mus,19
1,-0.130078997468,13.0,mus,19
0,-0.231544259213,6.0,mus,19
1,-0.0485901838967,10.0,mus,19
0,-0.188464032417,12.0,mus,19
1,-0.0193422835914,6.0,mus,19
0,-0.262005305121,33.0,mus,19
1,-0.0714506747541,18.0,mus,19
0,-0.0787897411663,9.0,nomus,19
1,0.157576450877,12.0,nomus,19
0,0.999999923712,0.0,nomus,19
1,0.999999923753,88.0,nomus,19
0,-0.220812989218,20.0,nomus,19
1,-0.239364382656,0.0,nomus,19
0,-0.134961882715,10.0,nomus,19
1,0.10216690401,8.0,nomus,19
0,0.0870206188312,22.0,nomus,19
1,0.36314818055,48.0,nomus,19
0,0.11856975834,6.0,nomus,19
1,0.234911863907,24.0,nomus,19
0,-0.991568229161,88.0,mus,20
1,-0.993766501307,0.0,mus,20
0,-0.925289491574,87.0,mus,20
1,-0.909556828154,0.0,mus,20
0,-0.852707818003,88.0,mus,20
1,-0.791151971424,0.0,mus,20
0,-0.58263568185,76.0,mus,20
1,-0.639515682931,3.0,mus,20
0,-0.799404037911,74.0,mus,20
1,-0.822045152496,0.0,mus,20
0,-0.999233963987,88.0,mus,20
1,-0.998867924336,0.0,mus,20
0,-0.844247748967,77.0,nomus,20
1,-0.130821160353,16.0,nomus,20
0,-0.803880122113,86.0,nomus,20
1,-0.119228630607,20.0,nomus,20
0,-0.966679349184,88.0,nomus,20
1,-0.915730058478,0.0,nomus,20
0,-0.813636171157,80.0,nomus,20
1,-0.851892570125,0.0,nomus,20
0,-0.467296296657,63.0,nomus,20
1,-0.0999539718699,20.0,nomus,20
0,-0.7932651904,76.0,nomus,20
1,-0.696482930099,0.0,nomus,20
0,-0.188926287769,3.0,mus,3
1,-0.326878740855,0.0,mus,3
0,-0.265221164559,8.0,mus,3
1,-0.306974590436,0.0,mus,3
0,-0.832825607936,74.0,mus,3
1,-0.801692522161,0.0,mus,3
0,-0.594787316546,49.0,mus,3
1,-0.553704760477,0.0,mus,3
0,-0.297020569385,17.0,mus,3
1,-0.331071191783,0.0,mus,3
0,-0.39621216638,24.0,mus,3
1,-0.399347895548,0.0,mus,3
0,-0.15049052412,0.0,nomus,3
1,-0.270599653305,0.0,nomus,3
0,-0.167866927876,0.0,nomus,3
1,-0.192488034978,0.0,nomus,3
0,-0.222494318556,0.0,nomus,3
1,-0.229421272706,0.0,nomus,3
0,-0.464208509601,34.0,nomus,3
1,-0.420060265351,0.0,nomus,3
0,-0.194726696451,6.0,nomus,3
1,-0.170627298224,0.0,nomus,3
0,-0.211074735973,3.0,nomus,3
1,-0.179596329109,0.0,nomus,3
0,-0.333196690841,39.0,mus,5
1,0.169660820745,46.0,mus,5
0,-0.113439407699,21.0,mus,5
1,0.449197501805,55.0,mus,5
0,-0.631799715918,67.0,mus,5
1,-0.053158891678,24.0,mus,5
0,-0.0240903118922,26.0,mus,5
1,0.281347552548,37.0,mus,5
0,-0.464156535555,50.0,mus,5
1,0.524367158781,64.0,mus,5
0,0.227540039237,17.0,mus,5
1,0.0259289768354,19.0,mus,5
0,-0.620717995195,60.0,nomus,5
1,0.58214320262,70.0,nomus,5
0,-0.335544770957,43.0,nomus,5
1,0.253771616645,43.0,nomus,5
0,0.0258966386386,29.0,nomus,5
1,0.051379408014,32.0,nomus,5
0,-0.345330030676,56.0,nomus,5
1,0.691981703339,75.0,nomus,5
0,-0.62898757626,68.0,nomus,5
1,0.616098794975,72.0,nomus,5
0,-0.458687140794,50.0,nomus,5
1,0.58692563365,68.0,nomus,5
0,0.179429306821,5.0,mus,6
1,0.152653572957,8.0,mus,6
0,0.0787890096587,8.0,mus,6
1,0.096133674643,10.0,mus,6
0,-0.105167618244,18.0,mus,6
1,0.0737177418123,19.0,mus,6
0,-0.0170915613259,2.0,mus,6
1,-0.0553624564458,7.0,mus,6
0,0.336033081993,0.0,mus,6
1,0.242966882837,24.0,mus,6
0,-0.143700834421,13.0,mus,6
1,-0.0204019663596,4.0,mus,6
0,0.0535160176695,2.0,nomus,6
1,0.264159195821,20.0,nomus,6
0,0.193068952157,2.0,nomus,6
1,-0.0122155030071,7.0,nomus,6
0,0.0356107989846,8.0,nomus,6
1,0.206519022259,8.0,nomus,6
0,0.113739404558,0.0,nomus,6
1,0.150598252654,23.0,nomus,6
0,0.131109350487,8.0,nomus,6
1,0.167354185719,12.0,nomus,6
0,-0.320244687266,52.0,mus,7
1,0.546789229143,72.0,mus,7
0,0.15862757014,9.0,mus,7
1,0.75178719532,71.0,mus,7
0,-0.0946400026009,40.0,mus,7
1,0.583452164292,68.0,mus,7
0,0.325448593732,1.0,mus,7
1,0.682328843146,74.0,mus,7
0,0.119950139942,11.0,mus,7
1,0.511876670351,47.0,mus,7
0,-0.0476436249922,36.0,mus,7
1,0.487066855699,43.0,mus,7
0,-0.315431521875,57.0,nomus,7
1,0.403777694465,26.0,nomus,7
0,-0.163692822628,35.0,nomus,7
1,0.573110902052,54.0,nomus,7
0,-0.43722361588,63.0,nomus,7
1,0.295365445897,48.0,nomus,7
0,-0.00620752735167,42.0,nomus,7
1,0.466251939279,48.0,nomus,7
0,-0.280371462747,42.0,nomus,7
1,0.185690793937,39.0,nomus,7
0,-0.667414192128,70.0,nomus,7
1,0.428645766237,48.0,nomus,7
0,-0.358791145875,54.0,mus,9
1,0.144776340779,36.0,mus,9
0,-0.454261079916,45.0,mus,9
1,0.160224802822,25.0,mus,9
0,-0.694920780959,67.0,mus,9
1,-0.026529573259,17.0,mus,9
0,0.167404127314,29.0,mus,9
1,0.733005249402,76.0,mus,9
0,-0.42954999855,51.0,mus,9
1,0.357602002724,47.0,mus,9
0,-0.0441013573874,20.0,mus,9
1,0.24236371343,28.0,mus,9
0,-0.853532433776,87.0,nomus,9
1,-0.325238118771,8.0,nomus,9
0,-0.579113635294,66.0,nomus,9
1,0.521430028938,66.0,nomus,9
0,-0.405998873616,61.0,nomus,9
1,0.381330306434,50.0,nomus,9
0,-0.647352433215,72.0,nomus,9
1,0.121448623643,51.0,nomus,9
0,-0.705103998987,80.0,nomus,9
1,0.383889124828,52.0,nomus,9
0,-0.473846843881,72.0,nomus,9
1,0.142302021559,42.0,nomus,9
0,-0.503658136661,59.0,mus,13
1,0.282811877775,26.0,mus,13
0,-0.696114039267,70.0,mus,13
1,-0.00819333800404,25.0,mus,13
0,-0.638649351523,73.0,mus,13
1,-0.0589118792171,12.0,mus,13
0,-0.663616763621,69.0,mus,13
1,0.167615343769,48.0,mus,13
0,-0.772414333698,83.0,mus,13
1,0.0960108870055,32.0,mus,13
0,-0.714577236556,68.0,mus,13
1,-0.0784418318021,20.0,mus,13
0,-0.850499213867,88.0,nomus,13
1,-0.18934692519,38.0,nomus,13
0,-0.673403564747,79.0,nomus,13
1,0.178687876829,39.0,nomus,13
0,-0.682030072323,79.0,nomus,13
1,0.255424104263,49.0,nomus,13
0,-0.814867217944,75.0,nomus,13
1,0.204449036688,51.0,nomus,13
0,-0.719334705167,73.0,nomus,13
1,0.585097471899,66.0,nomus,13
0,-0.489066511875,66.0,nomus,13
1,0.624434746617,70.0,nomus,13
0,-0.843531726078,81.0,mus,16
1,-0.521441148647,6.0,mus,16
0,-0.618047030183,57.0,mus,16
1,-0.442110342731,1.0,mus,16
0,-0.95767970935,88.0,mus,16
1,-0.862610847847,0.0,mus,16
0,-0.08708965804,27.0,mus,16
1,0.0453430337048,20.0,mus,16
0,0.289709596754,3.0,mus,16
1,0.140636625743,25.0,mus,16
0,0.133102772634,9.0,mus,16
1,0.0890498024487,25.0,mus,16
0,-0.997481611834,88.0,nomus,16
1,-0.977765018175,0.0,nomus,16
0,-0.302305115175,45.0,nomus,16
1,-0.0335571226127,7.0,nomus,16
0,-0.963107566532,88.0,nomus,16
1,-0.633353070015,9.0,nomus,16
0,-0.787146448141,78.0,nomus,16
1,-0.376794082551,4.0,nomus,16
0,-0.390434448745,54.0,nomus,16
1,-0.359356680748,18.0,nomus,16
0,-0.87234644486,80.0,nomus,16
1,-0.910516462118,0.0,nomus,16
0,-0.112915091645,7.0,mus,18
1,0.323505517328,41.0,mus,18
0,-0.782431649867,80.0,mus,18
1,0.184851733394,56.0,mus,18
0,-0.13447090033,13.0,mus,18
1,0.228803244173,21.0,mus,18
0,-0.377685379689,38.0,mus,18
1,0.187756098239,26.0,mus,18
0,-0.223239145441,25.0,mus,18
1,0.351672766983,54.0,mus,18
0,0.191343486937,2.0,mus,18
1,0.27524208359,27.0,mus,18
0,-0.047045907221,18.0,nomus,18
1,0.445391464969,48.0,nomus,18
0,-0.288982814948,23.0,nomus,18
1,0.115249907346,20.0,nomus,18
0,-0.0298590290179,6.0,nomus,18
1,0.330408255063,25.0,nomus,18
0,-0.162957814194,16.0,nomus,18
1,0.132965172778,16.0,nomus,18
0,-0.543222451517,59.0,nomus,18
1,0.339723391174,47.0,nomus,18
0,5.14831294588e-05,5.0,nomus,18
1,0.354464012,11.0,nomus,18
0,0.748629391838,0.0,mus,21
1,0.731930274052,72.0,mus,21
0,0.927868545588,0.0,mus,21
1,0.852696807994,83.0,mus,21
0,0.783915815147,0.0,mus,21
1,0.570936729151,52.0,mus,21
0,0.840581887536,0.0,mus,21
1,0.753377304985,79.0,mus,21
0,0.796656017726,5.0,mus,21
1,0.853754062746,81.0,mus,21
0,0.769086337887,2.0,mus,21
1,0.805831761248,85.0,mus,21
0,0.851439663743,0.0,nomus,21
1,0.778455953755,77.0,nomus,21
0,0.67950071259,0.0,nomus,21
1,0.726155004472,78.0,nomus,21
0,0.725033105363,4.0,nomus,21
1,0.756915792379,77.0,nomus,21
0,0.437054362281,1.0,nomus,21
1,0.399800090021,56.0,nomus,21
0,0.681242979499,9.0,nomus,21
1,0.601735160087,56.0,nomus,21
0,0.847474094005,0.0,nomus,21
1,0.715428982301,62.0,nomus,21
0,0.525792141595,10.0,mus,8
1,0.530074420322,52.0,mus,8
0,0.443218289874,0.0,mus,8
1,0.31819831073,41.0,mus,8
0,0.4339132597,1.0,mus,8
1,0.537481784985,62.0,mus,8
0,0.535156483638,0.0,mus,8
1,0.544584156035,57.0,mus,8
0,0.431624090907,0.0,mus,8
1,0.473390309092,55.0,mus,8
0,0.25624497933,15.0,mus,8
1,0.0708867352107,14.0,mus,8
0,-0.475199048808,31.0,nomus,8
1,-0.475207843464,0.0,nomus,8
0,-0.0734273942186,26.0,nomus,8
1,0.137106359901,8.0,nomus,8
0,-0.378040862017,26.0,nomus,8
1,-0.270527263657,0.0,nomus,8
0,-0.347155954816,34.0,nomus,8
1,-0.148238956881,6.0,nomus,8
0,0.340037822518,1.0,nomus,8
1,0.224385519234,23.0,nomus,8
0,0.651332069997,7.0,nomus,8
1,0.614884264806,70.0,nomus,8
0,0.375305747255,0.0,mus,15
1,0.434481748274,37.0,mus,15
0,0.546287204723,0.0,mus,15
1,0.455608220889,41.0,mus,15
0,0.822579484095,0.0,mus,15
1,0.791761368794,79.0,mus,15
0,0.306559519761,3.0,mus,15
1,0.392327523617,48.0,mus,15
0,0.559532490862,0.0,mus,15
1,0.443040681952,42.0,mus,15
0,0.859027742134,0.0,mus,15
1,0.729759502239,78.0,mus,15
0,0.194190691856,24.0,nomus,15
1,0.561996340719,62.0,nomus,15
0,0.0777815006472,10.0,nomus,15
1,0.267855312092,31.0,nomus,15
0,0.475114332863,2.0,nomus,15
1,0.556049283404,55.0,nomus,15
0,0.563869969514,0.0,nomus,15
1,0.692159272183,63.0,nomus,15
0,0.418060376866,3.0,nomus,15
1,0.484154619602,65.0,nomus,15
0,0.172198024921,0.0,nomus,15
1,0.172268897194,24.0,nomus,15
0,0.0313149822374,19.0,mus,17
1,0.375808428731,52.0,mus,17
0,0.335394809006,2.0,mus,17
1,0.0236478570794,23.0,mus,17
0,0.263182846119,0.0,mus,17
1,0.254310767028,35.0,mus,17
0,0.0350796967998,17.0,mus,17
1,-0.0714673415457,3.0,mus,17
0,-0.0199266673626,24.0,mus,17
1,-0.0231435256374,9.0,mus,17
0,0.432395440848,0.0,mus,17
1,0.452442328426,61.0,mus,17
0,0.323467891301,5.0,nomus,17
1,0.260727106201,25.0,nomus,17
0,0.482644148174,1.0,nomus,17
1,0.150287319319,28.0,nomus,17
0,0.507800321118,1.0,nomus,17
1,0.494566087116,59.0,nomus,17
0,0.621457687739,0.0,nomus,17
1,0.539167403072,57.0,nomus,17
0,0.275314693297,0.0,nomus,17
1,0.455307552211,66.0,nomus,17
0,0.251304050251,7.0,nomus,17
1,0.49508622073,59.0,nomus,17
